arrived_at,num_prefill_tokens,num_decode_tokens
337.6467390060425,1002,26
337.8144450187683,196,14
338.3081829547882,11,19
338.44633197784424,2248,23
338.77377009391785,3230,23
338.80586314201355,4063,8
339.2455220222473,1738,10
339.6173429489136,7435,34
339.75804114341736,2144,22
340.14713311195374,2253,18
340.34897208213806,16,7
340.38045597076416,7435,6
340.44949197769165,5479,12
340.64565992355347,6965,12
340.6466910839081,2145,14
340.64684796333313,1131,9
341.25580501556396,1131,7
341.37392592430115,3231,26
341.556636095047,12,17
341.6463620662689,2076,58
341.6662349700928,7435,15
341.66809606552124,1130,20
342.11316299438477,775,8
342.54688000679016,775,8
342.845468044281,15,9
342.87479400634766,3247,25
343.3349709510803,2117,8
343.5516221523285,7435,7
343.5538020133972,1131,9
344.1456661224365,30,20
344.16364002227783,253,30
344.3264820575714,3262,19
344.46777606010437,1976,69
344.6877739429474,209,9
345.3207199573517,890,13
345.4339759349823,364,31
345.46671199798584,2750,6
345.57680892944336,4947,14
345.6455760002136,5480,19
384.1592011451721,255,46
384.15922594070435,1428,13
384.3549220561981,1616,11
384.37481808662415,235,12
384.5623691082001,992,9
384.8968811035156,2043,9
385.20952105522156,73,31
385.3549840450287,548,11
385.5555911064148,257,13
385.55840492248535,4630,19
385.6615810394287,1428,10
385.8145799636841,2022,23
385.8541181087494,3622,6
385.9542109966278,761,27
385.9545011520386,5850,17
422.37518310546875,409,15
422.3757960796356,121,11
422.5733470916748,1042,15
422.57340812683105,792,9
422.6756241321564,2441,11
422.67576694488525,2847,6
422.6785249710083,37,8
422.68227910995483,694,9
422.9935541152954,16,11
423.2733030319214,152,19
423.28080105781555,1292,19
423.5006971359253,267,8
423.673485994339,699,58
423.675439119339,413,28
423.7755379676819,4486,31
424.282662153244,2524,18
424.3797709941864,136,17
424.38084411621094,1293,93
424.47863698005676,561,48
424.67437195777893,701,31
424.7756459712982,2783,26
425.23937010765076,994,9
425.4788670539856,1486,8
425.6796109676361,38,7
425.6916460990906,2444,12
425.7751820087433,17,12
425.9787049293518,43,7
426.07318806648254,41,14
426.1885299682617,703,25
426.5037910938263,1172,11
426.5775320529938,2784,25
426.7732391357422,701,75
427.077889919281,42,12
427.5772490501404,3157,6
428.07501006126404,41,16
428.13334703445435,631,9
428.41205406188965,1329,9
428.4567160606384,1615,6
428.47442603111267,1363,12
428.575336933136,1486,17
428.75943207740784,2784,47
428.7940239906311,4489,16
516.0885150432587,1307,15
516.1832120418549,1016,7
516.3789060115814,512,14
516.4792630672455,2451,6
516.4834351539612,5035,14
516.5865471363068,988,10
516.6814639568329,2018,15
517.1855020523071,94,18
517.2816269397736,1311,7
517.3853690624237,990,14
517.3855619430542,1543,10
517.5840990543365,397,28
517.6826169490814,1882,13
517.6858520507812,1046,7
517.7797589302063,7436,17
517.7822761535645,2960,283
517.7824511528015,7436,13
520.0801739692688,1018,6
520.081246137619,2488,20
520.2824940681458,1050,10
520.4815230369568,399,16
520.4870331287384,4393,12
520.582170009613,94,7
520.5822169780731,2546,8
521.184023141861,1885,10
521.18914103508,1050,11
521.3801419734955,376,19
521.3876359462738,997,7
521.4884960651398,377,9
521.5827479362488,4981,6
521.5836570262909,999,26
521.5885760784149,94,54
521.680820941925,1052,20
521.684937953949,551,7
521.6876389980316,2048,9
521.6884059906006,5004,15
524.0841269493103,1841,8
524.1874611377716,4486,35
557.6373219490051,920,82
557.737645149231,491,180
557.8396689891815,312,16
557.8404109477997,2275,7
557.9444301128387,7436,12
558.0392899513245,7436,11
558.0393121242523,851,16
558.0405840873718,2364,42
558.1341950893402,2275,13
558.1377129554749,636,210
558.1394951343536,920,70
558.1407160758972,73,14
558.1414029598236,126,19
558.2371051311493,7436,8
558.4365191459656,2450,97
558.4365260601044,2274,36
558.4379670619965,491,31
558.4409160614014,4432,15
558.4409761428833,2275,8
558.4412031173706,636,22
558.5529301166534,64,44
558.5614290237427,491,58
559.6400089263916,491,116
559.8387520313263,492,30
559.8389179706573,2276,15
559.9368770122528,1101,108
559.936928987503,3980,9
559.9390840530396,5744,13
560.0343339443207,775,13
560.0394690036774,2364,157
560.1361219882965,956,6
560.137148141861,181,9
560.7411289215088,782,7
560.7434251308441,926,52
560.8375289440155,7437,7
562.5377430915833,3985,6
562.6379909515381,18,12
562.638904094696,181,8
562.639034986496,493,25
562.7379829883575,7435,11
562.8354210853577,353,14
